scenario,week,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Cobb,Lake_Coleridge,Lake_Dunstan,Lake_Hawea,Lake_Karapiro,Lake_Maraetai,Lake_Matahina,Lake_Moawhango,Lake_Ohakuri,Lake_Ohau,Lake_Pukaki,Lake_Rotoaira,Lake_Roxburgh,Lake_Taupo,Lake_Tekapo,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru,Lakes_Manapouri_Te_Anau,Mangahao_head
1932,49,9.4017,3.6467,1.0256,23.2149,58.0373,250.3411,6.8529,19.9187,55.1604,10.1424,215.347,9.8029,18.2905,51.6463,131.6916,60.5657,9.2307,109.0927,19.6341,8.5432,60.022,15.202,1.0139,1.9373,12.5941,268.7537,13.4472
1932,50,11.7911,4.5735,1.2863,18.7223,46.8057,241.0108,10.3399,35.486,102.451,12.7201,409.7261,7.3176,22.9391,55.538,158.4684,113.2526,11.5767,87.9803,25.2343,8.2248,96.2377,30.6944,4.877,2.4297,10.1568,273.5456,16.8649
1932,51,11.1174,4.3122,1.2128,18.5986,46.4966,186.5629,6.1061,16.5861,55.6707,11.9934,211.7979,3.989,21.6285,60.1027,152.837,78.1549,10.9153,87.3994,29.1129,6.3667,121.2979,40.973,1.1833,2.2909,10.0898,260.502,15.9013
1932,52,10.8252,4.1988,1.1809,19.1584,47.896,155.7423,7.6658,23.549,64.7167,11.678,343.6672,6.2593,21.0598,56.3823,217.2542,113.9317,10.6283,90.03,25.7687,5.3149,101.563,33.2779,4.0232,2.2306,10.3934,237.455,15.4833
1933,1,11.4098,4.4256,1.2447,16.9538,42.3844,250.8578,5.1831,12.4646,56.4531,12.3088,446.9714,8.2457,22.1972,54.784,207.9017,112.0549,11.2023,79.67,25.4591,8.5608,100.7741,32.9961,1.7774,2.3511,9.1974,188.1199,16.3195
1933,2,10.3624,4.0193,1.1304,12.1675,30.4187,229.7946,4.7216,10.4043,33.8341,11.1788,238.9434,3.9566,20.1595,59.5764,164.0594,77.2543,10.174,57.178,25.7633,7.842,101.828,33.3519,0.8706,2.1353,6.6009,181.548,14.8213
1933,3,13.0196,5.05,1.4203,15.9894,39.9736,189.2662,5.2064,12.5689,44.9431,14.0454,144.6903,5.6637,25.329,67.3227,201.7777,103.6679,12.7829,75.138,37.9433,6.4589,162.0114,55.6304,5.1156,2.6828,8.6743,181.548,18.622
1933,4,10.4151,4.0398,1.1362,18.2038,45.5096,166.1118,5.5699,14.1924,37.0573,11.2356,143.7706,5.5594,20.262,53.6591,167.4394,83.514,10.2257,85.5444,24.6027,5.6688,94.7986,30.4686,7.6026,2.1461,9.8756,175.6314,14.8967
1933,5,4.697,1.8219,0.5124,45.2655,113.1639,185.4676,8.782,28.5316,144.3524,5.067,753.8384,11.0464,9.1378,66.462,620.8364,325.3123,4.6116,212.7139,32.3833,6.3293,134.4536,45.5313,2.1317,0.9679,24.5566,285.5644,6.7181
1933,6,8.8188,3.4206,0.9621,20.817,52.0426,248.6862,9.6479,32.3973,54.1869,9.5136,229.6074,6.5021,17.1566,67.9683,270.9737,135.1301,8.6585,97.8241,42.0221,8.4867,180.7307,62.2897,26.3026,1.8172,11.2932,299.7343,12.6136
1933,7,8.0211,3.1112,0.875,25.8571,64.6429,227.6545,9.0479,29.7186,71.5623,8.6531,810.066,5.8899,15.6048,60.7924,229.458,129.4267,7.8753,121.5091,30.4144,7.769,127.8651,43.3889,4.8737,1.6528,14.0275,263.9544,11.4727
1933,8,8.1995,3.1804,0.8945,55.3836,138.459,258.1285,10.7693,37.4031,179.9013,8.8455,735.3786,6.8849,15.9517,60.913,447.1404,238.5651,8.0504,260.2614,30.4401,8.8089,127.9869,43.4349,11.4291,1.6896,30.0456,347.2681,11.7277
1933,9,9.3449,3.6247,1.0194,32.6515,81.6287,372.811,9.5241,31.8443,89.4584,10.0812,716.7524,3.5969,18.1801,66.884,357.3483,152.804,9.175,153.4376,37.813,12.7226,161.4601,55.4269,20.427,1.9256,17.7134,409.4807,13.3661
1933,10,8.529,3.3082,0.9304,17.9671,44.9177,314.0679,6.4566,18.1496,50.544,9.201,393.8293,5.7297,16.5928,51.5529,144.7591,77.6367,8.3739,84.432,21.8706,10.7179,77.9814,23.8121,6.8603,1.7575,9.7471,317.6496,12.1991
1933,11,8.1163,3.1482,0.8854,12.4654,31.1634,237.318,4.9427,11.391,36.0757,8.7558,188.4133,5.719,15.7899,51.47,119.4321,63.3873,7.9688,58.5784,20.3824,8.0988,66.3731,17.8891,6.5456,1.6725,6.7625,244.1866,11.6088
1933,12,12.777,4.9559,1.3939,36.3704,90.926,205.2007,5.8084,15.2556,158.4864,13.7837,1054.6077,17.0097,24.8571,97.3803,308.1174,144.479,12.5447,170.9133,58.323,7.0027,311.9204,104.8103,20.9771,2.6328,19.7309,272.7527,18.275
1933,13,9.7691,3.7892,1.0657,24.3918,60.9796,250.0949,4.692,10.2726,67.397,10.5388,324.9901,7.218,19.0054,59.715,243.5076,105.5137,9.5915,114.6233,39.7159,8.5348,151.8291,55.5936,4.5406,2.013,13.2326,352.6177,13.9728
1933,14,8.002,3.1038,0.8729,30.2565,75.6413,268.4808,6.546,18.5489,148.4323,8.6325,519.7579,9.2177,15.5676,62.942,246.7151,146.911,7.8565,142.1831,32.2999,9.1622,136.6136,46.5449,2.8956,1.6489,16.4142,325.2929,11.4453
